,RVB_adam
867,-17.99201269710521
868,-17.992012697105206
869,-17.992012697105213
870,-17.992012697105213
871,-17.992683733721943
872,-17.992683733723183
873,-17.99268373372346
874,-17.992683733721947
875,-17.99268373372194
876,-17.992683733723833
877,-17.99268373370739
878,-17.992683733721933
879,-17.992683733721922
880,-17.992683733721957
881,-17.992683733721943
882,-17.99268373372194
883,-17.99268373372194
884,-17.993308535867726
885,-17.99330853586906
886,-17.993308535869105
887,-17.993308535867722
888,-17.993308535867722
889,-17.99330853586962
890,-17.993308535853828
891,-17.993308535867847
892,-17.993308535867662
893,-17.993308535867722
894,-17.99330853586773
895,-17.99330853586772
896,-17.993308535867722
897,-17.993889761458362
898,-17.99388976145975
899,-17.993889761459602
900,-17.993889761458373
901,-17.993889761458366
902,-17.99388976146025
903,-17.993889761445104
904,-17.993889761458536
905,-17.993889761458234
906,-17.993889761458355
907,-17.993889761458362
908,-17.993889761458366
909,-17.993889761458348
910,-17.994429971443882
911,-17.994429971445342
912,-17.99442997144499
913,-17.994429971443886
914,-17.99442997144389
915,-17.994429971445744
916,-17.994429971431234
917,-17.994429971444156
918,-17.99442997144374
919,-17.994429971443896
920,-17.994429971443882
921,-17.99442997144389
922,-17.994429971443882
923,-17.99493161969388
924,-17.994931619695386
925,-17.994931619694857
926,-17.99493161969389
927,-17.99493161969388
928,-17.994931619695713
929,-17.994931619681836
930,-17.99493161969421
931,-17.994931619693734
932,-17.994931619693876
933,-17.994931619693883
934,-17.99493161969388
935,-17.99493161969388
936,-17.995396945382772
937,-17.995396945384297
938,-17.995396945383625
939,-17.99539694538278
940,-17.99539694538277
941,-17.995396945384556
942,-17.995396945371297
943,-17.99539694538315
944,-17.995396945382637
945,-17.995396945382776
946,-17.99539694538277
947,-17.99539694538277
948,-17.99539694538277
949,-17.995828037232986
950,-17.99582803723454
951,-17.99582803723371
952,-17.99582803723299
953,-17.99582803723299
954,-17.995828037234727
955,-17.99582803722208
956,-17.995828037233387
957,-17.99582803723283
958,-17.995828037232986
959,-17.99582803723299
960,-17.995828037232997
961,-17.995828037232982
962,-17.996226835952058
963,-17.99622683595361
964,-17.99622683595266
965,-17.996226835952058
966,-17.996226835952058
967,-17.996226835953724
968,-17.996226835941705
969,-17.996226835952495
970,-17.996226835951937
971,-17.996226835952058
972,-17.99622683595205
973,-17.99622683595207
974,-17.99622683595206
975,-17.996595083201754
976,-17.996595083203314
977,-17.99659508320224
978,-17.99659508320175
979,-17.996595083201758
980,-17.996595083203367
981,-17.996595083191913
982,-17.996595083202195
983,-17.996595083201683
984,-17.996595083201743
985,-17.996595083201765
986,-17.996595083201754
987,-17.99659508320176
988,-17.99693450984574
989,-17.996934509847293
990,-17.996934509846113
991,-17.996934509845744
992,-17.99693450984574
993,-17.996934509847275
994,-17.996934509836414
995,-17.996934509846167
996,-17.996934509845712
997,-17.996934509845733
998,-17.996934509845744
999,-17.996934509845744
1000,-17.99693450984575
1001,-17.997246727826443
1002,-17.99724672782796
1003,-17.99724672782671
1004,-17.99724672782644
1005,-17.997246727826436
1006,-17.997246727827914
1007,-17.997246727817622
1008,-17.997246727826862
1009,-17.99724672782643
1010,-17.997246727826436
1011,-17.997246727826443
1012,-17.997246727826447
1013,-17.997246727826447
1014,-17.997533311050294
1015,-17.9975333110518
1016,-17.997533311050464
1017,-17.997533311050304
1018,-17.997533311050294
1019,-17.997533311051686
1020,-17.99753331104196
1021,-17.9975333110507
1022,-17.997533311050336
1023,-17.997533311050283
1024,-17.997533311050287
1025,-17.997533311050304
1026,-17.997533311050287
1027,-17.997795809174242
1028,-17.9977958091757
1029,-17.997795809174338
1030,-17.99779580917424
1031,-17.997795809174242
1032,-17.997795809175546
1033,-17.99779580916635
1034,-17.99779580917462
1035,-17.997795809174306
1036,-17.997795809174242
1037,-17.99779580917424
1038,-17.99779580917424
1039,-17.997795809174235
1040,-17.998035737684834
1041,-17.998035737686255
1042,-17.998035737684834
1043,-17.99803573768482
1044,-17.99803573768483
1045,-17.99803573768605
1046,-17.998035737677387
1047,-17.998035737685164
1048,-17.998035737684926
1049,-17.99803573768483
1050,-17.998035737684837
1051,-17.998035737684827
1052,-17.998035737684834
1053,-17.998254528401155
1054,-17.99825452840253
1055,-17.99825452840109
1056,-17.998254528401155
1057,-17.99825452840116
1058,-17.9982545284023
1059,-17.998254528394142
1060,-17.998254528401457
1061,-17.998254528401244
1062,-17.99825452840115
1063,-17.99825452840116
1064,-17.998254528401155
1065,-17.99825452840116
1066,-17.998453542927297
1067,-17.998453542928623
1068,-17.998453542927162
1069,-17.998453542927294
1070,-17.998453542927297
1071,-17.998453542928353
1072,-17.9984535429207
1073,-17.998453542927543
1074,-17.998453542927376
1075,-17.998453542927287
1076,-17.998453542927304
1077,-17.99845354292729
1078,-17.998453542927304
1079,-17.99863405905161
1080,-17.99863405905288
1081,-17.998634059051415
1082,-17.99863405905161
1083,-17.998634059051604
1084,-17.99863405905257
1085,-17.99863405904541
1086,-17.9986340590518
1087,-17.998634059051692
1088,-17.998634059051607
1089,-17.99863405905161
1090,-17.99863405905161
1091,-17.99863405905161
1092,-17.998797318159934
1093,-17.998797318161145
1094,-17.99879731815969
1095,-17.998797318159923
1096,-17.998797318159934
1097,-17.998797318160804
1098,-17.998797318154125
1099,-17.99879731816007
1100,-17.99879731816
1101,-17.99879731815992
1102,-17.99879731815992
1103,-17.99879731815994
1104,-17.998797318159934
1105,-17.998944508419818
1106,-17.998944508420983
1107,-17.998944508419534
1108,-17.99894450841982
1109,-17.998944508419818
1110,-17.998944508420628
1111,-17.99894450841438
1112,-17.998944508419907
1113,-17.998944508419857
1114,-17.998944508419818
1115,-17.99894450841982
1116,-17.998944508419815
1117,-17.998944508419818
1118,-17.99907680991605
1119,-17.999076809917145
1120,-17.999076809915724
1121,-17.999076809916048
1122,-17.99907680991605
1123,-17.999076809916755
1124,-17.999076809910964
1125,-17.9990768099161
1126,-17.999076809916065
1127,-17.999076809916065
1128,-17.999076809916062
1129,-17.99907680991606
1130,-17.999076809916055
1131,-17.9991953521615
1132,-17.999195352162516
1133,-17.999195352161134
1134,-17.999195352161493
1135,-17.9991953521615
1136,-17.99919535216213
1137,-17.99919535215675
1138,-17.99919535216149
1139,-17.999195352161472
1140,-17.9991953521615
1141,-17.9991953521615
1142,-17.9991953521615
1143,-17.999195352161486
1144,-17.999301250730095
1145,-17.999301250731047
1146,-17.99930125072971
1147,-17.99930125073009
1148,-17.999301250730095
1149,-17.99930125073064
1150,-17.999301250725658
1151,-17.999301250730042
1152,-17.99930125073007
1153,-17.999301250730102
1154,-17.999301250730102
1155,-17.999301250730092
1156,-17.999301250730095
1157,-17.999395589067543
1158,-17.999395589068435
1159,-17.999395589067145
1160,-17.999395589067543
1161,-17.99939558906754
1162,-17.999395589068016
1163,-17.99939558906342
1164,-17.999395589067465
1165,-17.999395589067515
1166,-17.999395589067532
1167,-17.99939558906754
1168,-17.99939558906754
1169,-17.999395589067547
1170,-17.999479377260958
1171,-17.99947937726179
1172,-17.999479377260563
1173,-17.99947937726096
1174,-17.999479377260958
1175,-17.999479377261377
1176,-17.999479377257135
1177,-17.999479377260855
1178,-17.999479377260926
1179,-17.99947937726096
1180,-17.99947937726098
1181,-17.999479377260975
1182,-17.999479377260965
1183,-17.999553559088493
1184,-17.999553559089264
1185,-17.99955355908808
1186,-17.9995535590885
1187,-17.999553559088493
1188,-17.99955355908884
1189,-17.999553559084962
1190,-17.999553559088366
1191,-17.999553559088454
1192,-17.9995535590885
1193,-17.9995535590885
1194,-17.9995535590885
1195,-17.9995535590885
1196,-17.999619018724175
1197,-17.99961901872488
1198,-17.999619018723763
1199,-17.999619018724168
1200,-17.99961901872417
1201,-17.999619018724445
1202,-17.999619018720907
1203,-17.999619018724033
1204,-17.99961901872415
1205,-17.99961901872418
1206,-17.99961901872417
1207,-17.999619018724182
1208,-17.999619018724168
1209,-17.999676573752105
1210,-17.999676573752758
1211,-17.999676573751703
1212,-17.999676573752115
1213,-17.99967657375211
1214,-17.999676573752318
1215,-17.999676573749102
1216,-17.999676573751962
1217,-17.999676573752048
1218,-17.999676573752115
1219,-17.999676573752115
1220,-17.99967657375211
1221,-17.999676573752097
1222,-17.99972698575693
1223,-17.9997269857575
1224,-17.999726985756524
1225,-17.999726985756922
1226,-17.999726985756936
1227,-17.99972698575707
1228,-17.99972698575416
1229,-17.99972698575677
1230,-17.999726985756922
1231,-17.999726985756936
1232,-17.999726985756933
1233,-17.999726985756926
1234,-17.999726985756915
1235,-17.99977094624629
1236,-17.999770946246812
1237,-17.999770946245892
1238,-17.999770946246286
1239,-17.9997709462463
1240,-17.999770946246393
1241,-17.99977094624376
1242,-17.99977094624612
1243,-17.999770946246265
1244,-17.999770946246297
1245,-17.999770946246304
